order_id,date,product,category,quantity,unit_price,total,region,channel,customer_age,rating
ORD-0001,2024-04-08,Clothing Item 9,Clothing,1,225.04,225.04,North,Mobile App,65,4.6
ORD-0002,2024-01-03,Clothing Item 14,Clothing,5,132.35,661.75,South,Mobile App,56,1.1
ORD-0003,2024-08-19,Sports Item 18,Sports,5,131.65,658.25,North,Online,62,2.7
ORD-0004,2024-06-04,Books Item 6,Books,2,72.43,144.86,West,Online,40,4.4
ORD-0005,2024-09-04,Books Item 25,Books,1,221.61,221.61,North,Mobile App,36,4.3
ORD-0006,2024-02-02,Toys Item 43,Toys,5,65.75,328.75,South,In-Store,23,4.4
ORD-0007,2024-11-27,Clothing Item 24,Clothing,4,90.6,362.4,South,In-Store,40,1.8
ORD-0008,2024-03-18,Books Item 47,Books,1,186.64,186.64,South,Online,47,2.5
ORD-0009,2024-01-08,Sports Item 3,Sports,3,254.42,763.26,East,In-Store,35,1.3
ORD-0010,2024-07-21,Toys Item 30,Toys,2,200.07,400.14,South,In-Store,26,2.0
ORD-0011,2024-10-13,Books Item 24,Books,5,134.24,671.2,South,Online,50,3.0
ORD-0012,2024-03-26,Electronics Item 44,Electronics,1,54.31,54.31,West,Mobile App,22,2.5
ORD-0013,2024-09-28,Food Item 1,Food,5,82.9,414.5,North,Mobile App,52,4.0
ORD-0014,2024-03-15,Toys Item 1,Toys,1,95.11,95.11,East,Mobile App,29,3.0
ORD-0015,2024-09-20,Clothing Item 13,Clothing,3,254.07,762.21,South,In-Store,28,3.2
ORD-0016,2024-01-04,Electronics Item 24,Electronics,5,104.0,520.0,East,Online,21,2.0
ORD-0017,2024-02-25,Clothing Item 35,Clothing,1,222.24,222.24,South,Online,60,2.9
ORD-0018,2024-10-14,Home & Garden Item 14,Home & Garden,3,163.02,489.06,Central,Mobile App,62,1.8
ORD-0019,2024-11-12,Books Item 29,Books,4,298.58,1194.32,Central,In-Store,25,2.0
ORD-0020,2024-09-08,Clothing Item 38,Clothing,3,16.09,48.27,South,Online,22,3.8
ORD-0021,2024-01-28,Electronics Item 22,Electronics,2,29.54,59.08,North,Mobile App,33,2.1
ORD-0022,2024-12-19,Food Item 37,Food,2,166.37,332.74,West,Online,48,4.2
ORD-0023,2024-07-12,Sports Item 28,Sports,1,38.1,38.1,West,In-Store,64,1.2
ORD-0024,2024-06-26,Clothing Item 7,Clothing,1,126.75,126.75,South,Online,30,3.1
ORD-0025,2024-08-08,Home & Garden Item 5,Home & Garden,4,63.2,252.8,West,Mobile App,24,1.2
ORD-0026,2024-04-06,Electronics Item 27,Electronics,1,278.64,278.64,West,In-Store,31,4.5
ORD-0027,2024-07-09,Electronics Item 30,Electronics,2,119.89,239.78,East,In-Store,62,4.8
ORD-0028,2024-04-02,Food Item 38,Food,2,65.06,130.12,Central,Online,65,2.3
ORD-0029,2024-09-06,Electronics Item 4,Electronics,5,148.26,741.3,Central,Online,29,1.3
ORD-0030,2024-10-08,Clothing Item 38,Clothing,2,127.08,254.16,Central,Online,57,1.3
ORD-0031,2024-12-11,Toys Item 16,Toys,3,69.23,207.69,East,In-Store,26,3.7
ORD-0032,2024-02-01,Books Item 30,Books,4,101.68,406.72,Central,Mobile App,24,1.3
ORD-0033,2024-06-03,Sports Item 16,Sports,5,86.9,434.5,East,In-Store,28,2.8
ORD-0034,2024-11-17,Books Item 1,Books,5,295.31,1476.55,Central,In-Store,60,1.4
ORD-0035,2024-02-24,Home & Garden Item 36,Home & Garden,3,43.46,130.38,South,In-Store,36,3.4
ORD-0036,2024-05-17,Toys Item 32,Toys,2,209.36,418.72,East,Online,23,3.5
ORD-0037,2024-03-21,Books Item 17,Books,1,11.02,11.02,South,Mobile App,46,3.2
ORD-0038,2024-02-23,Beauty Item 10,Beauty,5,12.79,63.95,Central,Online,41,3.3
ORD-0039,2024-05-12,Home & Garden Item 3,Home & Garden,4,46.95,187.8,East,Online,61,2.0
ORD-0040,2024-07-20,Clothing Item 48,Clothing,3,236.22,708.66,South,Online,28,4.9
ORD-0041,2024-12-11,Home & Garden Item 27,Home & Garden,4,17.18,68.72,South,In-Store,28,4.1
ORD-0042,2024-08-08,Clothing Item 13,Clothing,4,262.92,1051.68,West,In-Store,37,4.3
ORD-0043,2024-04-13,Sports Item 22,Sports,2,16.85,33.7,East,Online,35,2.4
ORD-0044,2024-01-04,Beauty Item 17,Beauty,5,106.02,530.1,South,Mobile App,34,1.2
ORD-0045,2024-06-14,Beauty Item 39,Beauty,3,221.27,663.81,Central,Online,42,4.6
ORD-0046,2024-07-01,Sports Item 34,Sports,3,22.86,68.58,Central,Mobile App,64,4.8
ORD-0047,2024-11-11,Sports Item 40,Sports,3,135.07,405.21,East,Mobile App,25,3.9
ORD-0048,2024-07-11,Books Item 26,Books,5,99.68,498.4,East,Mobile App,26,1.8
ORD-0049,2024-05-13,Beauty Item 36,Beauty,2,188.49,376.98,North,In-Store,36,1.8
ORD-0050,2024-11-07,Toys Item 33,Toys,4,138.11,552.44,West,Mobile App,28,3.6
ORD-0051,2024-10-11,Books Item 6,Books,5,202.51,1012.55,South,Mobile App,37,1.9
ORD-0052,2024-04-16,Sports Item 40,Sports,2,17.07,34.14,North,In-Store,44,4.5
ORD-0053,2024-04-05,Sports Item 42,Sports,4,153.36,613.44,North,Online,45,1.9
ORD-0054,2024-02-15,Food Item 9,Food,1,171.64,171.64,West,Mobile App,51,5.0
ORD-0055,2024-12-17,Toys Item 28,Toys,4,187.66,750.64,Central,In-Store,28,4.0
ORD-0056,2024-04-27,Food Item 41,Food,4,85.16,340.64,East,Mobile App,49,3.5
ORD-0057,2024-05-08,Books Item 18,Books,4,32.46,129.84,East,In-Store,52,1.3
ORD-0058,2024-03-23,Home & Garden Item 14,Home & Garden,2,121.07,242.14,North,In-Store,44,2.3
ORD-0059,2024-07-13,Food Item 50,Food,4,28.05,112.2,Central,Mobile App,19,4.4
ORD-0060,2024-06-10,Beauty Item 49,Beauty,4,11.7,46.8,West,In-Store,52,4.0
ORD-0061,2024-07-16,Sports Item 2,Sports,4,73.62,294.48,West,In-Store,60,3.7
ORD-0062,2024-03-20,Beauty Item 35,Beauty,2,253.74,507.48,North,In-Store,55,3.3
ORD-0063,2024-03-28,Electronics Item 30,Electronics,1,196.39,196.39,South,Online,34,2.5
ORD-0064,2024-07-09,Sports Item 49,Sports,4,104.78,419.12,West,In-Store,23,2.9
ORD-0065,2024-02-25,Electronics Item 42,Electronics,3,75.01,225.03,North,Online,33,1.8
ORD-0066,2024-03-16,Electronics Item 43,Electronics,5,54.18,270.9,North,Mobile App,31,2.9
ORD-0067,2024-10-24,Books Item 46,Books,3,58.65,175.95,North,Online,37,1.4
ORD-0068,2024-07-13,Electronics Item 46,Electronics,3,176.97,530.91,South,Online,55,3.8
ORD-0069,2024-05-28,Sports Item 44,Sports,1,212.18,212.18,Central,Online,54,4.1
ORD-0070,2024-06-03,Toys Item 33,Toys,5,134.22,671.1,East,Online,44,4.3
ORD-0071,2024-11-27,Clothing Item 30,Clothing,4,288.62,1154.48,South,In-Store,29,3.9
ORD-0072,2024-09-25,Books Item 31,Books,5,244.37,1221.85,West,In-Store,64,3.4
ORD-0073,2024-02-09,Toys Item 29,Toys,2,250.9,501.8,South,In-Store,54,3.4
ORD-0074,2024-06-06,Beauty Item 32,Beauty,3,18.31,54.93,South,In-Store,34,2.4
ORD-0075,2024-04-03,Books Item 16,Books,5,12.93,64.65,West,In-Store,53,4.0
ORD-0076,2024-01-03,Food Item 19,Food,4,139.96,559.84,South,In-Store,62,2.0
ORD-0077,2024-06-14,Toys Item 48,Toys,4,170.5,682.0,Central,In-Store,40,3.8
ORD-0078,2024-02-24,Books Item 13,Books,3,82.9,248.7,East,Online,65,3.1
ORD-0079,2024-08-09,Home & Garden Item 47,Home & Garden,2,72.74,145.48,Central,Mobile App,56,2.1
ORD-0080,2024-06-06,Clothing Item 20,Clothing,2,95.9,191.8,North,Mobile App,52,1.5
ORD-0081,2024-12-05,Electronics Item 41,Electronics,1,170.46,170.46,West,Online,18,3.3
ORD-0082,2024-03-02,Food Item 17,Food,4,137.73,550.92,West,Online,22,2.6
ORD-0083,2024-01-05,Clothing Item 10,Clothing,5,192.53,962.65,Central,In-Store,23,5.0
ORD-0084,2024-10-20,Clothing Item 40,Clothing,5,231.68,1158.4,South,Mobile App,42,2.8
ORD-0085,2024-07-10,Food Item 37,Food,3,259.44,778.32,Central,Online,57,4.8
ORD-0086,2024-05-22,Clothing Item 6,Clothing,2,191.39,382.78,South,Online,29,3.2
ORD-0087,2024-12-20,Home & Garden Item 31,Home & Garden,1,128.46,128.46,East,Online,32,2.2
ORD-0088,2024-04-09,Books Item 41,Books,4,30.63,122.52,Central,Mobile App,30,2.7
ORD-0089,2024-03-03,Sports Item 4,Sports,2,273.43,546.86,South,In-Store,56,4.0
ORD-0090,2024-12-10,Books Item 45,Books,4,46.05,184.2,West,In-Store,50,3.2
ORD-0091,2024-07-24,Food Item 21,Food,1,183.42,183.42,Central,In-Store,19,1.4
ORD-0092,2024-03-16,Electronics Item 34,Electronics,3,177.1,531.3,West,In-Store,29,5.0
ORD-0093,2024-08-12,Beauty Item 27,Beauty,4,291.02,1164.08,East,In-Store,60,1.4
ORD-0094,2024-08-10,Home & Garden Item 43,Home & Garden,3,129.37,388.11,West,Mobile App,20,2.8
ORD-0095,2024-07-28,Toys Item 33,Toys,3,103.74,311.22,North,Mobile App,52,2.8
ORD-0096,2024-10-25,Electronics Item 32,Electronics,2,160.34,320.68,West,Online,31,2.1
ORD-0097,2024-12-16,Home & Garden Item 8,Home & Garden,3,137.04,411.12,North,Mobile App,56,4.2
ORD-0098,2024-09-14,Home & Garden Item 6,Home & Garden,3,169.73,509.19,South,Online,47,4.8
ORD-0099,2024-05-17,Home & Garden Item 46,Home & Garden,4,280.46,1121.84,East,In-Store,48,4.9
ORD-0100,2024-07-07,Sports Item 39,Sports,4,169.86,679.44,Central,Mobile App,26,4.5
ORD-0101,2024-09-09,Books Item 1,Books,4,108.55,434.2,East,Mobile App,37,4.3
ORD-0102,2024-08-12,Food Item 22,Food,2,139.49,278.98,Central,Mobile App,42,2.8
ORD-0103,2024-04-19,Toys Item 25,Toys,2,294.41,588.82,South,In-Store,20,2.3
ORD-0104,2024-11-26,Food Item 42,Food,4,121.95,487.8,South,In-Store,20,1.5
ORD-0105,2024-08-04,Toys Item 34,Toys,1,263.51,263.51,West,Online,64,1.6
ORD-0106,2024-05-11,Home & Garden Item 40,Home & Garden,1,146.14,146.14,West,Mobile App,23,4.4
ORD-0107,2024-08-28,Beauty Item 35,Beauty,3,191.76,575.28,North,Mobile App,22,1.9
ORD-0108,2024-07-04,Books Item 49,Books,2,226.55,453.1,North,In-Store,28,3.8
ORD-0109,2024-01-10,Electronics Item 23,Electronics,1,104.06,104.06,East,In-Store,27,2.0
ORD-0110,2024-03-06,Beauty Item 12,Beauty,5,207.71,1038.55,North,Mobile App,42,3.5
ORD-0111,2024-03-08,Sports Item 30,Sports,4,274.71,1098.84,East,In-Store,34,3.7
ORD-0112,2024-03-03,Food Item 29,Food,3,206.5,619.5,East,Mobile App,37,3.6
ORD-0113,2024-05-07,Beauty Item 25,Beauty,3,142.47,427.41,West,Online,33,2.5
ORD-0114,2024-12-10,Toys Item 2,Toys,5,95.79,478.95,West,In-Store,18,3.3
ORD-0115,2024-05-25,Electronics Item 15,Electronics,5,226.09,1130.45,Central,In-Store,32,3.5
ORD-0116,2024-11-21,Books Item 3,Books,2,192.18,384.36,East,In-Store,20,3.3
ORD-0117,2024-06-24,Home & Garden Item 27,Home & Garden,1,273.78,273.78,South,Online,26,4.1
ORD-0118,2024-05-27,Toys Item 11,Toys,5,155.51,777.55,East,In-Store,36,4.0
ORD-0119,2024-02-05,Toys Item 49,Toys,1,145.81,145.81,South,Mobile App,64,3.7
ORD-0120,2024-07-01,Beauty Item 17,Beauty,5,116.06,580.3,Central,Online,47,2.5
ORD-0121,2024-11-12,Books Item 7,Books,5,120.49,602.45,South,In-Store,19,3.5
ORD-0122,2024-02-21,Toys Item 30,Toys,5,74.19,370.95,East,Mobile App,44,1.5
ORD-0123,2024-08-04,Electronics Item 7,Electronics,1,98.26,98.26,South,Mobile App,26,2.6
ORD-0124,2024-12-24,Toys Item 10,Toys,5,131.54,657.7,West,Mobile App,24,4.3
ORD-0125,2024-06-07,Beauty Item 29,Beauty,3,19.48,58.44,West,Online,41,1.4
ORD-0126,2024-11-12,Toys Item 4,Toys,5,271.48,1357.4,West,In-Store,30,4.9
ORD-0127,2024-11-21,Food Item 39,Food,1,202.19,202.19,North,Online,39,2.0
ORD-0128,2024-09-07,Home & Garden Item 38,Home & Garden,5,69.5,347.5,South,Online,39,4.1
ORD-0129,2024-03-05,Electronics Item 35,Electronics,3,258.93,776.79,East,Online,25,3.6
ORD-0130,2024-04-19,Electronics Item 21,Electronics,2,14.3,28.6,North,Online,34,1.2
ORD-0131,2024-02-16,Beauty Item 29,Beauty,5,42.95,214.75,East,Mobile App,55,1.4
ORD-0132,2024-11-17,Sports Item 20,Sports,5,22.57,112.85,West,Mobile App,19,1.2
ORD-0133,2024-02-16,Food Item 46,Food,4,133.61,534.44,West,Online,23,2.3
ORD-0134,2024-10-21,Home & Garden Item 38,Home & Garden,1,46.59,46.59,Central,Mobile App,38,2.5
ORD-0135,2024-07-04,Books Item 45,Books,4,156.6,626.4,North,Mobile App,59,4.5
ORD-0136,2024-04-14,Sports Item 22,Sports,4,140.94,563.76,West,In-Store,44,3.9
ORD-0137,2024-05-12,Toys Item 10,Toys,4,100.62,402.48,West,Online,23,4.3
ORD-0138,2024-12-12,Clothing Item 9,Clothing,4,37.99,151.96,Central,Online,55,4.8
ORD-0139,2024-11-25,Toys Item 28,Toys,1,129.12,129.12,North,In-Store,56,2.2
ORD-0140,2024-03-22,Clothing Item 31,Clothing,5,157.14,785.7,South,Online,40,4.4
ORD-0141,2024-10-08,Toys Item 28,Toys,1,231.15,231.15,Central,Mobile App,57,3.7
ORD-0142,2024-12-09,Electronics Item 2,Electronics,5,279.42,1397.1,South,In-Store,62,4.0
ORD-0143,2024-03-19,Toys Item 43,Toys,3,11.76,35.28,West,Online,27,4.0
ORD-0144,2024-04-13,Electronics Item 27,Electronics,1,226.36,226.36,West,In-Store,28,2.5
ORD-0145,2024-01-05,Toys Item 11,Toys,5,182.89,914.45,Central,Online,61,1.3
ORD-0146,2024-08-14,Food Item 18,Food,4,150.83,603.32,South,Mobile App,25,2.4
ORD-0147,2024-10-16,Clothing Item 34,Clothing,3,206.67,620.01,East,Online,32,2.6
ORD-0148,2024-04-25,Electronics Item 9,Electronics,1,69.27,69.27,East,In-Store,38,1.5
ORD-0149,2024-07-18,Food Item 46,Food,4,60.94,243.76,South,Mobile App,53,4.3
ORD-0150,2024-12-02,Toys Item 28,Toys,1,125.14,125.14,North,In-Store,22,4.4
ORD-0151,2024-11-14,Beauty Item 19,Beauty,5,127.27,636.35,North,In-Store,19,4.9
